idealized_year,baseline,additive,amplitude_modulation,phase_modulation,training
0.0,1.0,1.2,1.2,0.9800665778412416,True
0.08333333333333333,1.1258330249197703,1.3241219971945324,1.2975563122000224,1.0103672594394262,True
0.16666666666666666,0.7598076211353317,0.9529927863931454,0.8564002037642386,0.5842419146972744,True
0.25,9.797174393178826e-17,0.18477590650225748,1.0928600505466526e-16,-0.18372625928871908,True
0.3333333333333333,-0.7598076211353313,-0.5866025403784435,-0.8464101615137751,-0.9015774765921359,True
0.4166666666666667,-1.1258330249197703,-0.9671623568615233,-1.2632458542936604,-1.193957041848818,True
0.5,-1.0,-0.8585786437626904,-1.1414213562373094,-0.990016655559523,True
0.5833333333333334,-0.606217782649107,-0.48446549684736284,-0.7116583551222408,-0.5390810390042585,True
0.6666666666666666,-0.2401923788646687,-0.14019237886466868,-0.29019237886466875,-0.15123618654093246,True
0.75,-7.347880794884119e-17,0.07653668647301791,-8.753836916482009e-17,0.07646198476780319,True
0.8333333333333334,0.2401923788646685,0.29195618788517264,0.26607428337492056,0.28433141201439105,True
0.9166666666666666,0.6062177826491066,0.632323021093117,0.6288255823134697,0.6189738451550341,True
1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,True
1.0833333333333333,1.1258330249197703,1.09972778647576,1.1032252252554073,1.1385890874256979,True
1.1666666666666667,0.7598076211353313,0.7080438121148271,0.7339257166250792,0.8039466542850539,True
1.25,4.898587196589413e-16,-0.07653668647301747,4.664261176323098e-16,0.07646198476780375,True
1.3333333333333333,-0.7598076211353305,-0.8598076211353305,-0.7098076211353306,-0.6708514288115942,True
1.4166666666666667,-1.1258330249197703,-1.2475853107215145,-1.0203924524466366,-1.0586962812749219,True
1.5,-1.0000000000000002,-1.1414213562373097,-0.8585786437626908,-0.9900166555595231,True
1.5833333333333333,-0.6062177826491079,-0.7648884507073549,-0.46880495327521776,-0.6743417995781557,True
1.6666666666666667,-0.24019237886466832,-0.41339745962155605,-0.15358983848622448,-0.3819622343214736,True
1.75,-1.7145055188062946e-16,-0.18477590650225753,-9.225072402049043e-17,-0.18372625928871844,True
1.8333333333333333,0.24019237886466782,0.04700721360685417,0.14359979623576116,0.06462667242660974,True
1.9166666666666667,0.6062177826491072,0.40792881037434514,0.434494495368855,0.49075201716876327,True
2.0,0.9999999999999997,0.7999999999999996,0.7999999999999996,0.9800665778412413,True
2.0833333333333335,1.12583302491977,0.927544052645008,0.954109737639518,1.2073593791517792,True
2.1666666666666665,0.7598076211353335,0.5666224558775198,0.6632150385064264,0.9167710355682639,True
2.25,8.817456953860943e-16,-0.1847759065022565,7.799173452802013e-16,0.1837262592887209,True
2.3333333333333335,-0.7598076211353324,-0.9330127018922201,-0.6732050807568885,-0.6030752281986096,True
2.4166666666666665,-1.1258330249197699,-1.284503692978017,-0.98842019554588,-1.035951328377063,True
